14575.0	14106.0	96.94
14664.0	14188.0	96.95
14740.0	14268.0	96.97
14822.0	14351.0	96.99
14887.0	14420.0	97.0
14938.0	14476.0	97.01
15005.0	14537.0	97.02
15074.0	14608.0	97.04
15123.0	14664.0	97.05
15177.0	14715.0	97.06
15219.0	14762.0	97.07
15242.0	14789.0	97.08
15280.0	14820.0	97.08
15328.0	14863.0	97.09
15378.0	14919.0	97.1
15441.0	14974.0	97.11
15502.0	15037.0	97.13
15614.0	15121.0	97.13
15796.0	15286.0	97.14
15949.0	15453.0	97.19
16099.0	15598.0	97.22
16233.0	15745.0	97.23
16342.0	15864.0	97.27
16453.0	15960.0	97.28
16682.0	16166.0	97.31
16887.0	16371.0	97.34
17072.0	16560.0	97.37
17255.0	16752.0	97.41
17396.0	16897.0	97.42
17576.0	17071.0	97.46
17754.0	17246.0	97.47
17936.0	17436.0	97.51
18085.0	17592.0	97.52
18215.0	17733.0	97.54
18298.0	17829.0	97.56
18342.0	17878.0	97.57
18383.0	17925.0	97.58
18419.0	17961.0	97.58
18478.0	18011.0	97.58
18519.0	18062.0	97.6
18549.0	18096.0	97.6
18562.0	18115.0	97.6
18581.0	18131.0	97.6
18581.0	18136.0	97.61
18581.0	18136.0	97.61
18595.0	18136.0	97.61
18608.0	18156.0	97.57
18611.0	18156.0	97.57
18615.0	18156.0	97.57
18624.0	18168.0	97.56
18626.0	18169.0	97.56
18626.0	18169.0	97.56
18661.0	18194.0	97.55
18687.0	18224.0	97.55
18692.0	18233.0	97.55
18715.0	18248.0	97.56
18741.0	18278.0	97.56
18768.0	18301.0	97.56
18793.0	18329.0	97.57
18815.0	18351.0	97.57
18826.0	18364.0	97.57
18835.0	18376.0	97.57
18847.0	18385.0	97.57
18863.0	18403.0	97.58
18876.0	18414.0	97.58
18897.0	18428.0	97.58
18923.0	18458.0	97.58
18972.0	18501.0	97.59
19000.0	18535.0	97.59
19031.0	18564.0	97.6
19071.0	18601.0	97.6
19105.0	18640.0	97.61
19133.0	18668.0	97.61
19181.0	18708.0	97.61
19230.0	18757.0	97.62
19299.0	18816.0	97.62
19377.0	18895.0	97.63
19436.0	18961.0	97.65
19473.0	19002.0	97.65
19508.0	19032.0	97.66
19583.0	19100.0	97.65
