1615477921048,-592162591,494185
1615477921048,-978701656,494185
1615477921048,-804033261,494185
1615477921048,-39591431,494184
1615477921048,-829995679,494183
1615477921048,-404236682,494183
1615477921048,-621756370,494183
1615477921048,-338255126,494183
1615477921048,-605849913,494183
1615477921048,-434354336,494183
1615477921048,-291122269,494182
1615477921048,-507204113,494182
1615477924049,-385428503,494185
1615477924049,-191773653,494184
1615477924049,-840892213,494183
1615477924049,-583797834,494183
1615477924049,-891513818,494183
1615477924049,-795789246,494182
1615477927049,-987918416,494185
1615477927049,-629125866,494183
1615477927049,-376126332,494183
1615477930050,-357879478,494184
1615477930050,-25989696,494182
1615477933050,-204460327,494183
