Time,Core,IPC,LLC Misses,LLC[KB],MBL[MB/s],MBR[MB/s]
2020-12-24 16:52:24,"10-19,50-59,20-29,60-69,30-39,70-79",1.39,21569721,76520.0,2295.7,629.6
2020-12-24 16:52:25,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,28607538,76560.0,2792.3,807.8
2020-12-24 16:52:26,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,19962944,76480.0,2225.2,483.7
2020-12-24 16:52:27,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,22965621,76600.0,2488.8,510.6
2020-12-24 16:52:28,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,26159182,76360.0,2580.1,868.2
2020-12-24 16:52:29,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,26915094,76560.0,2592.6,758.7
2020-12-24 16:52:30,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,18305817,76560.0,2037.0,430.4
2020-12-24 16:52:31,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,20543692,76520.0,2284.1,568.5
2020-12-24 16:52:32,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,23800881,76640.0,2500.1,625.6
2020-12-24 16:52:33,"10-19,50-59,20-29,60-69,30-39,70-79",1.50,24538230,76560.0,2440.3,630.0
2020-12-24 16:52:34,"10-19,50-59,20-29,60-69,30-39,70-79",1.41,22131544,76480.0,2432.9,855.5
2020-12-24 16:52:35,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,25276895,76600.0,2763.5,639.3
2020-12-24 16:52:36,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,24358282,76480.0,2647.1,469.2
2020-12-24 16:52:37,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,27166086,76280.0,2859.6,687.2
2020-12-24 16:52:38,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,18578776,76560.0,2253.5,295.3
2020-12-24 16:52:39,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,23032412,76600.0,2564.8,330.7
2020-12-24 16:52:40,"10-19,50-59,20-29,60-69,30-39,70-79",1.40,23838798,76560.0,2486.2,803.9
2020-12-24 16:52:41,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,26908312,76320.0,2782.4,497.3
2020-12-24 16:52:42,"10-19,50-59,20-29,60-69,30-39,70-79",1.38,22076605,76600.0,2400.3,466.8
2020-12-24 16:52:43,"10-19,50-59,20-29,60-69,30-39,70-79",1.41,24254287,76600.0,2568.8,762.7
2020-12-24 16:52:44,"10-19,50-59,20-29,60-69,30-39,70-79",1.49,21041438,76560.0,2353.9,363.3
2020-12-24 16:52:45,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,23985836,76600.0,2644.8,406.8
2020-12-24 16:52:46,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,25569600,76600.0,2707.7,429.8
2020-12-24 16:52:47,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,20706979,76600.0,2306.4,366.3
2020-12-24 16:52:48,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,21714532,76520.0,2456.0,297.9
2020-12-24 16:52:49,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,24492620,76600.0,2642.1,424.1
2020-12-24 16:52:50,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,26081430,76600.0,2817.5,291.8
2020-12-24 16:52:51,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,19982943,76560.0,2279.5,348.0
2020-12-24 16:52:52,"10-19,50-59,20-29,60-69,30-39,70-79",1.36,26838681,76480.0,2596.1,1042.9
2020-12-24 16:52:53,"10-19,50-59,20-29,60-69,30-39,70-79",1.41,22948533,76640.0,2616.2,642.8
2020-12-24 16:52:54,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,24658208,76520.0,2773.1,432.4
2020-12-24 16:52:55,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,22454531,76360.0,2462.2,681.7
2020-12-24 16:52:56,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,22953592,76640.0,2570.0,404.8
2020-12-24 16:52:57,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,25432528,76640.0,2784.1,443.2
2020-12-24 16:52:58,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,24488375,76600.0,2643.0,364.9
2020-12-24 16:52:59,"10-19,50-59,20-29,60-69,30-39,70-79",1.50,19593248,76520.0,2314.3,312.9
2020-12-24 16:53:00,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,21441117,76640.0,2432.4,316.0
2020-12-24 16:53:01,"10-19,50-59,20-29,60-69,30-39,70-79",1.39,23726876,76640.0,2526.2,585.2
2020-12-24 16:53:02,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,26128985,76600.0,2799.3,496.4
2020-12-24 16:53:03,"10-19,50-59,20-29,60-69,30-39,70-79",1.40,28879510,76520.0,2881.9,672.5
2020-12-24 16:53:04,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,26961378,76560.0,2758.8,589.0
2020-12-24 16:53:05,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,26844354,76640.0,2847.4,378.0
2020-12-24 16:53:06,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,27189531,76480.0,2811.7,522.3
2020-12-24 16:53:07,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,22249682,76480.0,2405.8,909.8
2020-12-24 16:53:08,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,20425463,76640.0,2367.6,349.4
2020-12-24 16:53:09,"10-19,50-59,20-29,60-69,30-39,70-79",1.52,22628290,76640.0,2681.4,297.5
2020-12-24 16:53:10,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,18688339,76600.0,2130.2,572.5
2020-12-24 16:53:11,"10-19,50-59,20-29,60-69,30-39,70-79",1.49,19953413,76600.0,2357.0,397.0
2020-12-24 16:53:12,"10-19,50-59,20-29,60-69,30-39,70-79",1.41,19220255,76600.0,2219.1,502.0
2020-12-24 16:53:13,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,28621913,76640.0,3036.1,845.8
2020-12-24 16:53:14,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,29169955,76640.0,2931.8,646.6
2020-12-24 16:53:15,"10-19,50-59,20-29,60-69,30-39,70-79",1.49,23321175,76480.0,2642.1,379.1
2020-12-24 16:53:16,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,24548157,76440.0,2609.0,774.8
2020-12-24 16:53:17,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,25329833,76640.0,2782.7,536.8
2020-12-24 16:53:18,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,20338896,76640.0,2410.3,340.4
2020-12-24 16:53:19,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,17879679,76640.0,2128.4,576.5
2020-12-24 16:53:20,"10-19,50-59,20-29,60-69,30-39,70-79",1.38,20983168,76520.0,2397.9,587.3
2020-12-24 16:53:21,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,19565605,76520.0,2364.7,363.3
2020-12-24 16:53:22,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,25110046,76640.0,2742.2,719.4
2020-12-24 16:53:23,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,20479456,76640.0,2385.5,438.4
2020-12-24 16:53:24,"10-19,50-59,20-29,60-69,30-39,70-79",1.39,27024175,76640.0,2864.5,532.7
2020-12-24 16:53:25,"10-19,50-59,20-29,60-69,30-39,70-79",1.40,25373350,76640.0,2745.9,526.5
2020-12-24 16:53:26,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,24207977,76640.0,2733.4,357.4
2020-12-24 16:53:27,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,23524976,76480.0,2664.8,380.6
2020-12-24 16:53:28,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,23283589,76320.0,2613.8,479.9
2020-12-24 16:53:29,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,26950713,76400.0,3059.9,341.8
2020-12-24 16:53:30,"10-19,50-59,20-29,60-69,30-39,70-79",1.50,23241933,76640.0,2668.1,301.9
2020-12-24 16:53:31,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,21827787,76640.0,2512.4,456.5
2020-12-24 16:53:32,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,27477862,76640.0,3047.4,436.9
2020-12-24 16:53:33,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,22728875,76600.0,2576.7,356.2
2020-12-24 16:53:34,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,26807340,76520.0,2824.3,490.9
2020-12-24 16:53:35,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,29950691,76520.0,3052.5,601.8
2020-12-24 16:53:36,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,26738497,76520.0,2806.1,380.4
2020-12-24 16:53:37,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,22870668,76520.0,2465.1,709.7
