# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    1    77    49     -    16     2     0     0  6800  1680     0     0  8254    19     -     -     0     0     4
    2    77    42     -    18     3     0     0  6800  1560     0     0  5563    15     -     -     0     0     2
    0    71    45     -    12     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    88    51     -    35     4     0     0  6800  1920     0     0  8254    19     -     -     0     7     0
    2    92    42     -    21     3     0     0  6800  1890     0     0  5563    15     -     -     0   226     6
    0    62    45     -    12     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   105    51     -    26     3     0     0  6800  1920     0     0  8254    19     -     -     0   149     0
    2    66    41     -    10     2     0     0  6800  1350     0     0  5563    15     -     -     0    71     3
    0    61    45     -    14     4     0     0  6800  1350     0     0  5621    15     -     -     0   292     0
    1    91    51     -    27     3     0     0  6800  1920     0     0  8254    19     -     -     0   152    10
    2    80    41     -    22     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    72    46     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   113    51     -    24     3     0     0  6800  1920     0     0  8254    19     -     -     0    71    19
    2    71    41     -    20     3     0     0  6800  1350     0     0  5563    15     -     -     0    83     1
    0    75    45     -    14     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   126    52     -    31     3     0     0  6800  1920     0     0  8254    19     -     -     0     0    11
    2    66    41     -    21     3     0     0  6800  1350     0     0  5563    15     -     -     0    84    38
    0    72    45     -    10     3     0     0  6800  1350     0     0  5621    15     -     -     0     0    35
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    1    69    50     -    24     3     0     0  6800  1530     0     0  8254    19     -     -     0    35     1
    2    92    42     -    24     5     0     0  6800  1890     0     0  5563    15     -     -     0    78     2
    0    72    45     -    14     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    71    51     -    31     3     0     0  6800  1710     0     0  8254    19     -     -     0     0     0
    2   101    43     -    20     6     0     0  6800  1890     0     0  5563    15     -     -     0     0     0
    0    77    45     -    12     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    84    51     -    24     3     0     0  6800  1905     0     0  8254    19     -     -     0  1411     9
    2    76    42     -    14     3     0     0  6800  1425     0     0  5563    15     -     -     0    65    18
    0    71    46     -    12     3     0     0  6800  1350     0     0  5621    15     -     -     0     3     0
    1   104    52     -    25     3     0     0  6800  1905     0     0  8254    19     -     -     0     0     0
    2    67    42     -    22     3     0     0  6800  1425     0     0  5563    15     -     -     0     0     0
    0    72    45     -    11     3     0     0  6800  1350     0     0  5621    15     -     -     0     0    26
    1   104    52     -    30     3     0     0  6800  1920     0     0  8254    19     -     -     0   137    13
    2    75    42     -    13     2     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    70    46     -    12     3     0     0  6800  1350     0     0  5621    15     -     -     0   219     0
    1    71    51     -    20     2     0     0  6800  1875     0     0  8254    19     -     -     0    80     1
    2    71    42     -    18     4     0     0  6800  1350     0     0  5563    15     -     -     0   274     3
    0    62    45     -    12     3     0     0  6800  1350     0     0  5621    15     -     -     0   284     0
    1   105    52     -    30     4     0     0  6800  1875     0     0  8254    19     -     -     0    84     0
    2    71    42     -    21     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     2
