50,52,44,8,512,40,5680,6192,52,0,52,52,0,52,,70826,130635,86958,24498,1567872,116610,16558620,18126492
50,52,44,8,512,40,5680,6192,52,0,52,52,0,52,,1,0.542167107,0.814485154,2.89109315,0.04517333,0.607375011,0.004277289,0.00390732
50,52,44,8,512,40,5680,6192,52,0,52,52,0,52,,,,,,,,,
50,52,44,8,512,40,5680,6192,52,0,52,52,0,52,,,,,,,,,
50,52,44,8,512,40,5680,6192,52,0,52,52,0,52,,,,,,,,,
50,52,44,8,512,40,5680,6192,52,0,52,52,0,52,,,,,,,,,
50,52,44,8,512,40,5680,6192,52,0,52,52,0,52,,,,,,,,,
50,52,44,8,512,40,5680,6192,52,0,52,52,0,52,,,,,,,,,
50,52,44,8,512,40,5680,6192,52,0,52,52,0,52,,,,,,,,,
50,52,44,8,512,40,5680,6192,52,0,52,52,0,52,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,40,0,40,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,40,0,40,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,40,0,40,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,28,0,28,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,28,0,28,,,,,,,,,
2,52,44,8,512,40,5680,6192,52,0,52,17,0,17,,,,,,,,,
2,52,44,8,512,40,5680,6192,52,0,52,18,0,18,,,,,,,,,
2,52,44,8,512,40,5680,6192,52,0,52,18,0,18,,,,,,,,,
2,52,44,8,512,40,5680,6192,52,0,52,19,0,19,,,,,,,,,
2,52,44,8,512,40,5680,6192,52,0,52,19,0,19,,,,,,,,,
2,52,44,8,512,40,5680,6192,52,0,52,19,0,19,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,20,0,20,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,21,0,21,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,21,0,21,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,21,0,21,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,21,0,21,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,21,0,21,,,,,,,,,
4,52,44,8,512,40,5680,6192,52,0,52,22,0,22,,,,,,,,,
4,52,44,8,512,40,5680,6192,52,0,52,13,0,13,,,,,,,,,
4,52,44,8,512,40,5680,6192,52,0,52,15,0,15,,,,,,,,,
4,52,44,8,512,40,5680,6192,52,0,52,15,0,15,,,,,,,,,
4,52,44,8,512,40,5680,6192,52,0,52,15,0,15,,,,,,,,,
4,52,44,8,512,40,5680,6192,52,0,52,15,0,15,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,15,0,15,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,14,0,14,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,14,0,14,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,13,0,13,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,13,0,13,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,13,0,13,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,11,0,11,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,11,0,11,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,9,0,9,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,9,0,9,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,9,0,9,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,9,0,9,,,,,,,,,
5,52,44,8,512,40,5680,6192,52,0,52,13,0,13,,,,,,,,,
5,52,44,8,512,40,5680,6192,52,0,52,15,0,15,,,,,,,,,
5,52,44,8,512,40,5680,6192,52,0,52,15,0,15,,,,,,,,,
5,52,44,8,512,40,5680,6192,52,0,52,15,0,15,,,,,,,,,
5,52,44,8,512,40,5680,6192,52,0,52,15,0,15,,,,,,,,,
5,52,44,8,512,40,5680,6192,52,0,52,15,0,15,,,,,,,,,
2,52,44,8,512,40,5680,6192,52,0,52,12,0,12,,,,,,,,,
2,52,44,8,512,40,5680,6192,52,0,52,12,0,12,,,,,,,,,
2,52,44,8,512,40,5680,6192,52,0,52,10,0,10,,,,,,,,,
2,52,44,8,512,40,5680,6192,52,0,52,10,0,10,,,,,,,,,
2,52,44,8,512,40,5680,6192,52,0,52,7,0,7,,,,,,,,,
2,52,44,8,512,40,5680,6192,52,0,52,7,0,7,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,8,0,8,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,9,0,9,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,9,0,9,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,9,0,9,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,9,0,9,,,,,,,,,
3,52,44,8,512,40,5680,6192,52,0,52,9,0,9,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,7,0,7,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,6,0,6,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,6,0,6,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,6,0,6,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,6,0,6,,,,,,,,,
1,52,44,8,512,40,5680,6192,52,0,52,6,0,6,,,,,,,,,
5,52,44,8,512,40,5680,6192,52,0,52,10,0,10,,,,,,,,,
